latency	type
134.714343	RestStart
135.700441	RestEnd
138.709742	MotionStart
153.703242	MotionEnd
156.695541	RestStart
157.647636	RestEnd
160.673939	MotionStart
175.693440	MotionEnd
177.699641	RestStart
178.684740	RestEnd
181.711042	MotionStart
196.694540	MotionEnd
201.235994	RestStart
202.239095	RestEnd
205.231394	MotionStart
220.231894	MotionEnd
221.967067	RestStart
222.936164	RestEnd
225.962467	MotionStart
240.962967	MotionEnd
244.091279	RestStart
245.043374	RestEnd
248.069677	MotionStart
263.067177	MotionEnd
265.600430	RestStart
266.585529	RestEnd
269.594830	MotionStart
284.594329	MotionEnd
286.804551	RestStart
287.807651	RestEnd
290.816952	MotionStart
305.815451	MotionEnd
308.875757	RestStart
309.844854	RestEnd
312.854155	MotionStart
327.853655	MotionEnd
329.978867	RestStart
330.964966	RestEnd
333.991269	MotionStart
348.988768	MotionEnd
352.202090	RestStart
353.205190	RestEnd
356.230493	MotionStart
371.197989	MotionEnd
373.544224	RestStart
374.530322	RestEnd
377.556625	MotionStart
392.538123	MotionEnd
394.357305	RestStart
395.343403	RestEnd
398.369706	MotionStart
413.348204	MotionEnd
416.340503	RestStart
417.343603	RestEnd
420.335902	MotionStart
435.341402	MotionEnd
437.738642	RestStart
438.724741	RestEnd
441.733042	MotionStart
456.717540	MotionEnd
459.691837	RestStart
460.677936	RestEnd
463.704239	MotionStart
478.700738	MotionEnd
480.622930	RestStart
481.609029	RestEnd
484.635332	MotionStart
499.615829	MotionEnd
501.656033	RestStart
502.659134	RestEnd
505.668435	MotionStart
520.650933	MotionEnd
522.776145	RestStart
523.745242	RestEnd
526.771545	MotionStart
541.757043	MotionEnd
543.764244	RestStart
544.750342	RestEnd
547.775645	MotionStart
562.767144	MotionEnd
564.653333	RestStart
565.639431	RestEnd
568.648732	MotionStart
583.646232	MotionEnd
586.094476	RestStart
587.080575	RestEnd
590.089876	MotionStart
605.100377	MotionEnd
606.923559	RestStart
607.909658	RestEnd
610.918959	MotionStart
625.918458	MotionEnd
710.377903	RestStart
711.398005	RestEnd
714.390305	MotionStart
729.392805	MotionEnd
732.199085	RestStart
733.185184	RestEnd
736.211487	MotionStart
751.195985	MotionEnd
753.083174	RestStart
754.086274	RestEnd
757.094575	MotionStart
772.094075	MotionEnd
774.239289	RestStart
775.242389	RestEnd
778.268692	MotionStart
793.254828	MotionEnd
795.498379	RestStart
796.518175	RestEnd
799.526574	MotionStart
814.491580	MotionEnd
817.262026	RestStart
818.247828	RestEnd
821.290220	MotionStart
836.269224	MotionEnd
838.308815	RestStart
839.294618	RestEnd
842.303017	MotionStart
857.313014	MotionEnd
859.488579	RestStart
860.473381	RestEnd
863.498776	MotionStart
878.476780	MotionEnd
880.142447	RestStart
881.128250	RestEnd
884.153645	MotionStart
899.133648	MotionEnd
905.610352	RestStart
906.596155	RestEnd
909.621550	MotionStart
924.601553	MotionEnd
928.153843	RestStart
929.156642	RestEnd
932.164041	MotionStart
947.157041	MotionEnd
949.297613	RestStart
950.300413	RestEnd
953.291814	MotionStart
968.287815	MotionEnd
970.191433	RestStart
971.177237	RestEnd
974.202631	MotionStart
989.182635	MotionEnd
991.547162	RestStart
992.549961	RestEnd
995.575356	MotionStart
1010.552360	MotionEnd
1012.744921	RestStart
1013.710728	RestEnd
1016.733123	MotionStart
1031.719126	MotionEnd
1034.132643	RestStart
1035.117446	RestEnd
1038.125844	MotionStart
1053.102848	MotionEnd
1056.417185	RestStart
1057.436981	RestEnd
1060.462376	MotionStart
1075.442379	MotionEnd
1077.278012	RestStart
1078.246818	RestEnd
1081.289210	MotionStart
1096.265073	MotionEnd
1098.017073	RestStart
1098.986073	RestEnd
1102.012073	MotionStart
1116.992073	MotionEnd
1119.712073	RestStart
1120.698073	RestEnd
1123.723073	MotionStart
1138.723073	MotionEnd
1141.765073	RestStart
1142.751073	RestEnd
1145.777073	MotionStart
1160.772073	MotionEnd
1162.761073	RestStart
1163.764073	RestEnd
1166.756073	MotionStart
1181.736073	MotionEnd
1184.915073	RestStart
1185.935073	RestEnd
1188.944073	MotionStart
1203.922073	MotionEnd
1361.894073	RestStart
1362.880073	RestEnd
1365.889073	MotionStart
1380.890073	MotionEnd
1385.020073	RestStart
1386.023073	RestEnd
1389.066073	MotionStart
1404.019073	MotionEnd
1406.213073	RestStart
1407.203073	RestEnd
1410.208073	MotionStart
1425.175073	MotionEnd
1427.791073	RestStart
1428.773073	RestEnd
1431.799073	MotionStart
1446.805073	MotionEnd
1450.418073	RestStart
1451.417073	RestEnd
1454.448073	MotionStart
1469.424073	MotionEnd
1471.519073	RestStart
1472.501073	RestEnd
1475.515073	MotionStart
1490.515073	MotionEnd
1493.014073	RestStart
1494.025073	RestEnd
1497.052073	MotionStart
1512.018073	MotionEnd
1514.243073	RestStart
1515.225073	RestEnd
1518.232073	MotionStart
1533.239073	MotionEnd
1535.257073	RestStart
1536.272073	RestEnd
1539.258073	MotionStart
1554.257073	MotionEnd
1556.611073	RestStart
1557.591073	RestEnd
1560.587073	MotionStart
1575.574073	MotionEnd
1578.316073	RestStart
1579.327073	RestEnd
1582.345073	MotionStart
1597.314073	MotionEnd
1599.292073	RestStart
1600.292073	RestEnd
1603.303073	MotionStart
1618.292073	MotionEnd
1624.269073	RestStart
1625.276073	RestEnd
1628.294073	MotionStart
1643.285073	MotionEnd
1646.629073	RestStart
1647.614073	RestEnd
1650.629073	MotionStart
1665.589073	MotionEnd
1668.919073	RestStart
1669.924073	RestEnd
1672.922073	MotionStart
1687.922073	MotionEnd
1689.519073	RestStart
1690.524073	RestEnd
1693.530073	MotionStart
1708.515073	MotionEnd
1710.172073	RestStart
1711.149073	RestEnd
1714.175073	MotionStart
1729.182073	MotionEnd
1731.890073	RestStart
1732.904073	RestEnd
1735.902073	MotionStart
1750.907073	MotionEnd
