latency	type
137.107343	RestStart
138.093441	RestEnd
141.102742	MotionStart
156.096242	MotionEnd
159.088541	RestStart
160.040636	RestEnd
163.066939	MotionStart
178.086440	MotionEnd
180.092641	RestStart
181.077740	RestEnd
184.104042	MotionStart
199.087540	MotionEnd
203.628994	RestStart
204.632095	RestEnd
207.624394	MotionStart
222.624894	MotionEnd
224.360067	RestStart
225.329164	RestEnd
228.355467	MotionStart
243.355967	MotionEnd
246.484279	RestStart
247.436374	RestEnd
250.462677	MotionStart
265.460177	MotionEnd
267.993430	RestStart
268.978529	RestEnd
271.987830	MotionStart
286.987329	MotionEnd
289.197551	RestStart
290.200651	RestEnd
293.209952	MotionStart
308.208451	MotionEnd
311.268757	RestStart
312.237854	RestEnd
315.247155	MotionStart
330.246655	MotionEnd
332.371867	RestStart
333.357966	RestEnd
336.384269	MotionStart
351.381768	MotionEnd
354.595090	RestStart
355.598190	RestEnd
358.623493	MotionStart
373.590989	MotionEnd
375.937224	RestStart
376.923322	RestEnd
379.949625	MotionStart
394.931123	MotionEnd
396.750305	RestStart
397.736403	RestEnd
400.762706	MotionStart
415.741204	MotionEnd
418.733503	RestStart
419.736603	RestEnd
422.728902	MotionStart
437.734402	MotionEnd
440.131642	RestStart
441.117741	RestEnd
444.126042	MotionStart
459.110540	MotionEnd
462.084837	RestStart
463.070936	RestEnd
466.097239	MotionStart
481.093738	MotionEnd
483.015930	RestStart
484.002029	RestEnd
487.028332	MotionStart
502.008829	MotionEnd
504.049033	RestStart
505.052134	RestEnd
508.061435	MotionStart
523.043933	MotionEnd
525.169145	RestStart
526.138242	RestEnd
529.164545	MotionStart
544.150043	MotionEnd
546.157244	RestStart
547.143342	RestEnd
550.168645	MotionStart
565.160144	MotionEnd
567.046333	RestStart
568.032431	RestEnd
571.041732	MotionStart
586.039232	MotionEnd
588.487476	RestStart
589.473575	RestEnd
592.482876	MotionStart
607.493377	MotionEnd
609.316559	RestStart
610.302658	RestEnd
613.311959	MotionStart
628.311458	MotionEnd
712.770903	RestStart
713.791005	RestEnd
716.783305	MotionStart
731.785805	MotionEnd
734.592085	RestStart
735.578184	RestEnd
738.604487	MotionStart
753.588985	MotionEnd
755.476174	RestStart
756.479274	RestEnd
759.487575	MotionStart
774.487075	MotionEnd
776.632289	RestStart
777.635389	RestEnd
780.661692	MotionStart
795.647828	MotionEnd
797.891379	RestStart
798.911175	RestEnd
801.919574	MotionStart
816.884580	MotionEnd
819.655026	RestStart
820.640828	RestEnd
823.683220	MotionStart
838.662224	MotionEnd
840.701815	RestStart
841.687618	RestEnd
844.696017	MotionStart
859.706014	MotionEnd
861.881579	RestStart
862.866381	RestEnd
865.891776	MotionStart
880.869780	MotionEnd
882.535447	RestStart
883.521250	RestEnd
886.546645	MotionStart
901.526648	MotionEnd
908.003352	RestStart
908.989155	RestEnd
912.014550	MotionStart
926.994553	MotionEnd
930.546843	RestStart
931.549642	RestEnd
934.557041	MotionStart
949.550041	MotionEnd
951.690613	RestStart
952.693413	RestEnd
955.684814	MotionStart
970.680815	MotionEnd
972.584433	RestStart
973.570237	RestEnd
976.595631	MotionStart
991.575635	MotionEnd
993.940162	RestStart
994.942961	RestEnd
997.968356	MotionStart
1012.945360	MotionEnd
1015.137921	RestStart
1016.103728	RestEnd
1019.126123	MotionStart
1034.112126	MotionEnd
1036.525643	RestStart
1037.510446	RestEnd
1040.518844	MotionStart
1055.495848	MotionEnd
1058.810185	RestStart
1059.829981	RestEnd
1062.855376	MotionStart
1077.835379	MotionEnd
1079.671012	RestStart
1080.639818	RestEnd
1083.682210	MotionStart
1098.658073	MotionEnd
1100.410073	RestStart
1101.379073	RestEnd
1104.405073	MotionStart
1119.385073	MotionEnd
1122.105073	RestStart
1123.091073	RestEnd
1126.116073	MotionStart
1141.116073	MotionEnd
1144.158073	RestStart
1145.144073	RestEnd
1148.170073	MotionStart
1163.165073	MotionEnd
1165.154073	RestStart
1166.157073	RestEnd
1169.149073	MotionStart
1184.129073	MotionEnd
1187.308073	RestStart
1188.328073	RestEnd
1191.337073	MotionStart
1206.315073	MotionEnd
1364.287073	RestStart
1365.273073	RestEnd
1368.282073	MotionStart
1383.283073	MotionEnd
1387.413073	RestStart
1388.416073	RestEnd
1391.459073	MotionStart
1406.412073	MotionEnd
1408.606073	RestStart
1409.596073	RestEnd
1412.601073	MotionStart
1427.568073	MotionEnd
1430.184073	RestStart
1431.166073	RestEnd
1434.192073	MotionStart
1449.198073	MotionEnd
1452.811073	RestStart
