latency	type
232.320374	RestStart
233.334475	RestEnd
236.328775	MotionStart
251.325274	MotionEnd
253.171459	RestStart
254.143556	RestEnd
257.162858	MotionStart
272.135355	MotionEnd
276.395781	RestStart
277.360877	RestEnd
280.391180	MotionStart
295.383680	MotionEnd
301.065248	RestStart
302.078349	RestEnd
305.077649	MotionStart
320.079149	MotionEnd
322.923433	RestStart
323.924534	RestEnd
326.949836	MotionStart
341.919333	MotionEnd
346.974838	RestStart
347.956937	RestEnd
350.970238	MotionStart
365.945735	MotionEnd
368.628003	RestStart
369.620103	RestEnd
372.640405	MotionStart
387.628903	MotionEnd
392.897430	RestStart
393.912532	RestEnd
396.911832	MotionStart
411.907331	MotionEnd
414.162557	RestStart
415.144655	RestEnd
418.151955	MotionStart
433.146455	MotionEnd
434.988639	RestStart
435.987738	RestEnd
439.016042	MotionStart
453.984538	MotionEnd
455.936734	RestStart
456.915831	RestEnd
459.936133	MotionStart
474.938633	MotionEnd
477.028842	RestStart
478.026942	RestEnd
481.048244	MotionStart
496.021742	MotionEnd
498.573997	RestStart
499.567096	RestEnd
502.564396	MotionStart
517.537893	MotionEnd
519.495088	RestStart
520.486188	RestEnd
523.499489	MotionStart
538.474986	MotionEnd
541.776317	RestStart
542.771416	RestEnd
545.769716	MotionStart
560.746213	MotionEnd
564.075546	RestStart
565.044643	RestEnd
568.068945	MotionStart
583.065445	MotionEnd
585.111649	RestStart
586.095748	RestEnd
589.136052	MotionStart
604.108549	MotionEnd
605.716710	RestStart
606.712809	RestEnd
609.715110	MotionStart
624.714609	MotionEnd
626.467785	RestStart
627.488887	RestEnd
630.465185	MotionStart
645.461684	MotionEnd
647.585896	RestStart
648.576996	RestEnd
651.617299	MotionStart
666.587797	MotionEnd
668.755013	RestStart
669.724110	RestEnd
672.767414	MotionStart
687.750913	MotionEnd
689.634101	RestStart
690.611198	RestEnd
693.631501	MotionStart
708.634001	MotionEnd
710.463183	RestStart
711.459283	RestEnd
714.455582	MotionStart
729.476085	MotionEnd
731.411278	RestStart
732.393376	RestEnd
735.421679	MotionStart
750.409178	MotionEnd
752.908428	RestStart
753.907527	RestEnd
756.930830	MotionStart
771.924329	MotionEnd
774.874624	RestStart
775.859722	RestEnd
778.866023	MotionStart
793.854522	MotionEnd
797.951931	RestStart
798.940030	RestEnd
801.972333	MotionStart
816.944831	MotionEnd
819.341070	RestStart
820.371173	RestEnd
823.377474	MotionStart
838.342970	MotionEnd
842.123348	RestStart
843.130449	RestEnd
846.134749	MotionStart
861.109247	MotionEnd
866.047740	RestStart
867.025838	RestEnd
870.048140	MotionStart
885.058641	MotionEnd
887.664902	RestStart
888.663002	RestEnd
891.680303	MotionStart
906.675803	MotionEnd
909.772112	RestStart
910.768212	RestEnd
913.784514	MotionStart
928.777013	MotionEnd
931.548290	RestStart
932.552390	RestEnd
935.553690	MotionStart
950.549190	MotionEnd
952.492384	RestStart
953.452480	RestEnd
956.490784	MotionStart
971.497284	MotionEnd
973.474482	RestStart
974.468582	RestEnd
977.484883	MotionStart
992.472381	MotionEnd
994.801615	RestStart
995.828717	RestEnd
998.815016	MotionStart
1013.805515	MotionEnd
1020.408175	RestStart
1021.375272	RestEnd
1024.387573	MotionStart
1039.398074	MotionEnd
1041.427276	RestStart
1042.408375	RestEnd
1045.406675	MotionStart
1060.399174	MotionEnd
1063.808514	RestStart
1064.804614	RestEnd
1067.818916	MotionStart
1082.806414	MotionEnd
1085.215655	RestStart
1086.200754	RestEnd
1089.225056	MotionStart
1104.229556	MotionEnd
1105.982732	RestStart
1106.973831	RestEnd
1109.972130	MotionStart
1124.980631	MotionEnd
1127.404874	RestStart
1128.390972	RestEnd
1131.408274	MotionStart
1146.406773	MotionEnd
1148.285961	RestStart
1149.265059	RestEnd
1152.259359	MotionStart
1167.238857	MotionEnd
1169.270059	RestStart
1170.257158	RestEnd
1173.263459	MotionStart
1188.264959	MotionEnd
1190.165149	RestStart
1191.177250	RestEnd
1194.175550	MotionStart
1209.168049	MotionEnd
1211.443276	RestStart
1212.408373	RestEnd
1215.419674	MotionStart
1230.444177	MotionEnd
1236.040736	RestStart
1237.021834	RestEnd
1240.053137	MotionStart
1255.038636	MotionEnd
1262.291361	RestStart
1263.275459	RestEnd
1266.305762	MotionStart
1281.283260	MotionEnd
1284.367568	RestStart
1285.342666	RestEnd
1288.376969	MotionStart
1303.350466	MotionEnd
1305.600691	RestStart
1306.600791	RestEnd
1309.603092	MotionStart
1324.594591	MotionEnd
1326.764808	RestStart
1327.749906	RestEnd
1330.770208	MotionStart
1345.765707	MotionEnd
1348.847016	RestStart
1349.847115	RestEnd
1352.852416	MotionStart
1367.842915	MotionEnd
1371.238254	RestStart
1372.229353	RestEnd
1375.244655	MotionStart
1390.237154	MotionEnd
1393.192449	RestStart
1394.186549	RestEnd
1397.193850	MotionStart
1412.197350	MotionEnd
1414.400570	RestStart
1415.409671	RestEnd
1418.398970	MotionStart
1433.399470	MotionEnd
1435.332663	RestStart
1436.328763	RestEnd
1439.343064	MotionStart
1454.332563	MotionEnd
1458.053935	RestStart
1459.032033	RestEnd
1462.058336	MotionStart
1477.027832	MotionEnd
1483.417471	RestStart
1484.412571	RestEnd
1487.446874	MotionStart
1502.403370	MotionEnd
1505.137643	RestStart
1506.126742	RestEnd
1509.123041	MotionStart
1524.126541	MotionEnd
1528.228952	RestStart
1529.221051	RestEnd
1532.242353	MotionStart
1547.236853	MotionEnd
1549.406070	RestStart
1550.395168	RestEnd
1553.414470	MotionStart
1568.406969	MotionEnd
1570.952224	RestStart
1571.932322	RestEnd
1574.961624	MotionStart
1589.954124	MotionEnd
1591.683297	RestStart
1592.654394	RestEnd
1595.677696	MotionStart
1610.700198	MotionEnd
1613.836512	RestStart
1614.823611	RestEnd
1617.855914	MotionStart
1632.817410	MotionEnd
1634.932621	RestStart
1635.940722	RestEnd
1638.967025	MotionStart
1653.947523	MotionEnd
1656.398768	RestStart
1657.372865	RestEnd
1660.402168	MotionStart
1675.398667	MotionEnd
1677.652893	RestStart
1678.663994	RestEnd
1681.653293	MotionStart
1696.641792	MotionEnd
1698.776005	RestStart
1699.765104	RestEnd
1702.786406	MotionStart
1717.762904	MotionEnd
1720.017129	RestStart
1721.028230	RestEnd
1724.008528	MotionStart
1739.008028	MotionEnd
2010.389163	RestStart
2011.370261	RestEnd
2014.391563	MotionStart
2029.394063	MotionEnd
2034.701594	RestStart
2035.714695	RestEnd
2038.711995	MotionStart
2053.708495	MotionEnd
2064.938618	RestStart
2065.914715	RestEnd
2068.972021	MotionStart
2083.944518	MotionEnd
2086.253749	RestStart
2087.248848	RestEnd
2090.265150	MotionStart
2105.259649	MotionEnd
2107.219845	RestStart
2108.195943	RestEnd
2111.196243	MotionStart
2126.198743	MotionEnd
2128.273950	RestStart
2129.271050	RestEnd
2132.283351	MotionStart
2147.267850	MotionEnd
2149.256049	RestStart
2150.234146	RestEnd
2153.233446	MotionStart
2168.252948	MotionEnd
2170.263149	RestStart
2171.251248	RestEnd
2174.268549	MotionStart
2189.263049	MotionEnd
2191.311253	RestStart
2192.312353	RestEnd
2195.301652	MotionStart
2210.314154	MotionEnd
2212.449367	RestStart
2213.429465	RestEnd
2216.475770	MotionStart
2231.465268	MotionEnd
