latency	type
233.507468	RestStart
234.524569	RestEnd
237.522869	MotionStart
252.499367	MotionEnd
254.485565	RestStart
255.469664	RestEnd
258.487966	MotionStart
273.472464	MotionEnd
275.962713	RestStart
276.949811	RestEnd
279.961112	MotionStart
294.954612	MotionEnd
296.939810	RestStart
297.930909	RestEnd
300.950211	MotionStart
315.938710	MotionEnd
319.313047	RestStart
320.293145	RestEnd
323.320448	MotionStart
338.298946	MotionEnd
340.471163	RestStart
341.460262	RestEnd
344.406557	MotionStart
359.458061	MotionEnd
361.367252	RestStart
362.355351	RestEnd
365.395655	MotionStart
380.357151	MotionEnd
382.215337	RestStart
383.207436	RestEnd
386.206736	MotionStart
401.194235	MotionEnd
403.817497	RestStart
404.784594	RestEnd
407.826898	MotionStart
422.793395	MotionEnd
424.985613	RestStart
425.979713	RestEnd
428.989014	MotionStart
443.991514	MotionEnd
445.834698	RestStart
446.828798	RestEnd
449.856101	MotionStart
464.851600	MotionEnd
466.524767	RestStart
467.518866	RestEnd
470.524167	MotionStart
485.509665	MotionEnd
487.336848	RestStart
488.309946	RestEnd
491.329247	MotionStart
506.326747	MotionEnd
508.730987	RestStart
509.728087	RestEnd
512.726386	MotionStart
527.732887	MotionEnd
533.558470	RestStart
534.549569	RestEnd
537.549869	MotionStart
552.536367	MotionEnd
554.491563	RestStart
555.465660	RestEnd
558.477961	MotionStart
573.470460	MotionEnd
575.592673	RestStart
576.587772	RestEnd
579.604074	MotionStart
594.595573	MotionEnd
596.780791	RestStart
597.759889	RestEnd
600.793192	MotionStart
615.797693	MotionEnd
617.304843	RestStart
618.305943	RestEnd
621.332246	MotionStart
636.308744	MotionEnd
638.258939	RestStart
639.235036	RestEnd
642.251338	MotionStart
657.233836	MotionEnd
659.117024	RestStart
660.110124	RestEnd
663.098422	MotionStart
678.087921	MotionEnd
684.132525	RestStart
685.108623	RestEnd
688.138926	MotionStart
703.119424	MotionEnd
705.488661	RestStart
706.472759	RestEnd
709.469059	MotionStart
724.469559	MotionEnd
744.515563	RestStart
745.491661	RestEnd
748.512963	MotionStart
763.511463	MotionEnd
765.924704	RestStart
766.924804	RestEnd
769.939105	MotionStart
784.925604	MotionEnd
787.070818	RestStart
788.053917	RestEnd
791.080219	MotionStart
806.043715	MotionEnd
808.327944	RestStart
809.324044	RestEnd
812.321343	MotionStart
827.336844	MotionEnd
829.130024	RestStart
830.123123	RestEnd
833.156426	MotionStart
848.150926	MotionEnd
849.736084	RestStart
850.705181	RestEnd
853.732484	MotionStart
868.719983	MotionEnd
871.132224	RestStart
872.114322	RestEnd
875.109621	MotionStart
890.104121	MotionEnd
894.459556	RestStart
895.445655	RestEnd
898.479958	MotionStart
913.460456	MotionEnd
915.770687	RestStart
916.762786	RestEnd
919.783088	MotionStart
934.753585	MotionEnd
936.721782	RestStart
937.732883	RestEnd
940.747185	MotionStart
955.747684	MotionEnd
960.677177	RestStart
961.654275	RestEnd
964.697579	MotionStart
979.674077	MotionEnd
981.706280	RestStart
982.664376	RestEnd
985.709681	MotionStart
1000.670176	MotionEnd
1002.691378	RestStart
1003.666476	RestEnd
1006.701779	MotionStart
1021.677277	MotionEnd
1023.798489	RestStart
1024.772586	RestEnd
1027.792888	MotionStart
1042.776386	MotionEnd
1044.706580	RestStart
1045.713680	RestEnd
1048.737983	MotionStart
1063.730482	MotionEnd
1066.554764	RestStart
1067.546863	RestEnd
1070.563165	MotionStart
1085.547663	MotionEnd
1087.278836	RestStart
1088.273936	RestEnd
1091.272235	MotionStart
1106.263734	MotionEnd
1111.914299	RestStart
1112.906399	RestEnd
1115.914700	MotionStart
1130.900198	MotionEnd
1132.475356	RestStart
1133.464454	RestEnd
1136.476756	MotionStart
1151.489257	MotionEnd
1155.510659	RestStart
1156.511759	RestEnd
1159.536061	MotionStart
1174.514559	MotionEnd
1176.193727	RestStart
1177.193827	RestEnd
1180.196127	MotionStart
1195.185626	MotionEnd
1197.066814	RestStart
1198.074915	RestEnd
1201.063213	MotionStart
1216.079715	MotionEnd
1218.279935	RestStart
1219.269034	RestEnd
1222.300337	MotionStart
1237.278835	MotionEnd
1280.247131	RestStart
1281.257232	RestEnd
1284.273534	MotionStart
1299.232029	MotionEnd
1301.384244	RestStart
1302.376344	RestEnd
1305.387645	MotionStart
1320.383144	MotionEnd
1322.669373	RestStart
1323.687475	RestEnd
1326.688775	MotionStart
1341.674273	MotionEnd
1343.848491	RestStart
1344.843590	RestEnd
1347.870893	MotionStart
1362.851391	MotionEnd
1364.686574	RestStart
1365.663672	RestEnd
1368.675973	MotionStart
1383.684474	MotionEnd
1385.576663	RestStart
1386.587764	RestEnd
1389.596065	MotionStart
1404.574562	MotionEnd
1406.465752	RestStart
1407.469852	RestEnd
1410.484154	MotionStart
1425.473652	MotionEnd
1427.678873	RestStart
1428.659971	RestEnd
1431.692274	MotionStart
1446.660771	MotionEnd
1449.239028	RestStart
1450.223127	RestEnd
1453.229428	MotionStart
1468.233928	MotionEnd
1469.870091	RestStart
1470.866191	RestEnd
1473.870491	MotionStart
1488.876992	MotionEnd
1491.316236	RestStart
1492.295334	RestEnd
1495.317636	MotionStart
1510.330137	MotionEnd
1511.860290	RestStart
1512.849389	RestEnd
1515.871691	MotionStart
1530.871191	MotionEnd
1534.575561	RestStart
1535.583662	RestEnd
1538.575962	MotionStart
1553.587462	MotionEnd
1555.580662	RestStart
1556.581762	RestEnd
1559.585062	MotionStart
1574.561560	MotionEnd
1578.563960	RestStart
1579.573060	RestEnd
1582.559359	MotionStart
1597.570860	MotionEnd
1599.310034	RestStart
1600.323135	RestEnd
1603.333436	MotionStart
1618.310934	MotionEnd
1620.367140	RestStart
1621.375240	RestEnd
1624.368540	MotionStart
1639.356039	MotionEnd
1641.598263	RestStart
1642.574360	RestEnd
1645.596662	MotionStart
1660.563159	MotionEnd
1664.183521	RestStart
1665.185621	RestEnd
1668.203923	MotionStart
1683.203422	MotionEnd
1685.657668	RestStart
1686.649767	RestEnd
1689.685071	MotionStart
1704.641566	MotionEnd
1706.356738	RestStart
1707.346837	RestEnd
1710.360138	MotionStart
1725.364638	MotionEnd
1727.728875	RestStart
1728.738976	RestEnd
1731.738275	MotionStart
1746.730775	MotionEnd
1751.078209	RestStart
1752.056307	RestEnd
1755.069609	MotionStart
1770.080110	MotionEnd
1809.144015	RestStart
1810.137115	RestEnd
1813.138415	MotionStart
1828.130914	MotionEnd
1831.446246	RestStart
1832.398341	RestEnd
1835.432644	MotionStart
1850.419143	MotionEnd
1853.379439	RestStart
1854.365537	RestEnd
1857.369838	MotionStart
1872.379338	MotionEnd
1875.438644	RestStart
1876.404741	RestEnd
1879.438044	MotionStart
1894.422543	MotionEnd
1896.720772	RestStart
1897.707871	RestEnd
1900.725172	MotionStart
1915.699670	MotionEnd
1919.392039	RestStart
1920.389139	RestEnd
1923.387439	MotionStart
1938.378938	MotionEnd
1940.554155	RestStart
1941.540254	RestEnd
1944.544554	MotionStart
1959.544054	MotionEnd
1963.084408	RestStart
1964.081508	RestEnd
1967.114811	MotionStart
1982.093309	MotionEnd
1983.989498	RestStart
1984.966596	RestEnd
1988.001900	MotionStart
2002.993399	MotionEnd
2005.538653	RestStart
2006.520751	RestEnd
2009.534052	MotionStart
2024.538553	MotionEnd
2026.252724	RestStart
2027.244823	RestEnd
2030.266126	MotionStart
2045.256624	MotionEnd
2047.809880	RestStart
2048.767975	RestEnd
2051.791278	MotionStart
2066.793778	MotionEnd
2068.894988	RestStart
2069.898088	RestEnd
2072.918390	MotionStart
2087.900888	MotionEnd
2090.265125	RestStart
