latency	type
210.945862	RestStart
211.921276	RestEnd
214.934467	MotionStart
229.918471	MotionEnd
232.341017	RestStart
233.318430	RestEnd
236.328623	MotionStart
251.310628	MotionEnd
255.433153	RestStart
256.435551	RestEnd
259.443745	MotionStart
274.377780	MotionEnd
277.004203	RestStart
277.963627	RestEnd
280.986812	MotionStart
295.964867	MotionEnd
298.249867	RestStart
299.232868	RestEnd
302.245867	MotionStart
317.239867	MotionEnd
319.185867	RestStart
320.178867	RestEnd
323.185867	MotionStart
338.167867	MotionEnd
340.869867	RestStart
341.843867	RestEnd
344.873867	MotionStart
359.862867	MotionEnd
361.852867	RestStart
362.846867	RestEnd
365.878867	MotionStart
380.869867	MotionEnd
382.666867	RestStart
383.636867	RestEnd
386.641867	MotionStart
401.645867	MotionEnd
404.625867	RestStart
405.610867	RestEnd
408.635867	MotionStart
423.610867	MotionEnd
425.843867	RestStart
426.817867	RestEnd
429.852867	MotionStart
444.834867	MotionEnd
447.043867	RestStart
448.045867	RestEnd
451.076867	MotionStart
466.038867	MotionEnd
468.492867	RestStart
469.482868	RestEnd
472.465867	MotionStart
487.468867	MotionEnd
491.920867	RestStart
492.928867	RestEnd
495.941867	MotionStart
510.920867	MotionEnd
512.766867	RestStart
513.759867	RestEnd
516.794867	MotionStart
531.746867	MotionEnd
533.708867	RestStart
534.680867	RestEnd
537.703867	MotionStart
552.680867	MotionEnd
554.829867	RestStart
555.816867	RestEnd
558.850867	MotionStart
573.825867	MotionEnd
578.540867	RestStart
579.551867	RestEnd
582.554867	MotionStart
597.544534	MotionEnd
599.791984	RestStart
600.791184	RestEnd
603.792784	MotionStart
618.781781	MotionEnd
621.043234	RestStart
622.047434	RestEnd
625.047034	MotionStart
640.065037	MotionEnd
642.735571	RestStart
643.740772	RestEnd
646.742372	MotionStart
661.719367	MotionEnd
664.058835	RestStart
665.070037	RestEnd
668.085640	MotionStart
683.046632	MotionEnd
684.909004	RestStart
685.908204	RestEnd
688.893801	MotionStart
703.906803	MotionEnd
730.977216	RestStart
731.945410	RestEnd
734.972015	MotionStart
749.978015	MotionEnd
756.882396	RestStart
757.908601	RestEnd
760.916202	MotionStart
