latency	type
364.263139	RestStart
365.288139	RestEnd
368.269139	MotionStart
383.290139	MotionEnd
386.751139	RestStart
387.763139	RestEnd
390.778139	MotionStart
405.747139	MotionEnd
408.841139	RestStart
409.845139	RestEnd
412.859138	MotionStart
427.832139	MotionEnd
429.866138	RestStart
430.832139	RestEnd
433.840139	MotionStart
448.827139	MotionEnd
451.823139	RestStart
452.800138	RestEnd
455.829139	MotionStart
470.791139	MotionEnd
474.606139	RestStart
475.597139	RestEnd
478.614139	MotionStart
493.589139	MotionEnd
495.878139	RestStart
496.871139	RestEnd
499.872139	MotionStart
514.888139	MotionEnd
516.875139	RestStart
517.871139	RestEnd
520.887139	MotionStart
535.876139	MotionEnd
538.110139	RestStart
539.109138	RestEnd
542.125139	MotionStart
557.128139	MotionEnd
559.353139	RestStart
560.348139	RestEnd
563.359138	MotionStart
578.337516	MotionEnd
581.180653	RestStart
582.157043	RestEnd
585.178251	MotionStart
600.165244	MotionEnd
602.289093	RestStart
603.300498	RestEnd
606.307700	MotionStart
621.289691	MotionEnd
623.799694	RestStart
624.810098	RestEnd
627.794291	MotionStart
642.815297	MotionEnd
645.201251	RestStart
646.206653	RestEnd
649.208854	MotionStart
664.226858	MotionEnd
670.495365	RestStart
671.450747	RestEnd
674.451947	MotionStart
689.461948	MotionEnd
691.448743	RestStart
692.441140	RestEnd
695.435337	MotionStart
710.436335	MotionEnd
712.397119	RestStart
713.408523	RestEnd
716.408723	MotionStart
731.410721	MotionEnd
739.149816	RestStart
740.151216	RestEnd
743.148414	MotionStart
758.122402	MotionEnd
760.482345	RestStart
761.475742	RestEnd
764.517959	MotionStart
779.492946	MotionEnd
781.976940	RestStart
782.970337	RestEnd
785.986543	MotionStart
800.980538	MotionEnd
802.824275	RestStart
803.827676	RestEnd
806.824875	MotionStart
821.839878	MotionEnd
823.890698	RestStart
824.870090	RestEnd
827.886296	MotionStart
842.880291	MotionEnd
845.310263	RestStart
846.305661	RestEnd
849.316864	MotionStart
864.299856	MotionEnd
903.191270	RestStart
904.168466	RestEnd
907.185069	MotionStart
922.175066	MotionEnd
925.259683	RestStart
926.250881	RestEnd
929.269485	MotionStart
944.242479	MotionEnd
946.404912	RestStart
947.376105	RestEnd
950.392709	MotionStart
965.396709	MotionEnd
968.247279	RestStart
969.231476	RestEnd
972.259081	MotionStart
987.245078	MotionEnd
989.454519	RestStart
990.443717	RestEnd
993.460320	MotionStart
1008.429314	MotionEnd
1010.629754	RestStart
1011.636955	RestEnd
1014.654559	MotionStart
1029.647556	MotionEnd
1031.923011	RestStart
1032.920211	RestEnd
1035.913809	MotionStart
1050.918810	MotionEnd
1053.920410	RestStart
1054.945615	RestEnd
1057.926211	MotionStart
1072.936213	MotionEnd
1075.093644	RestStart
1076.102846	RestEnd
1079.113448	MotionStart
1094.108446	MotionEnd
1096.230871	RestStart
1097.225070	RestEnd
1100.272679	MotionStart
1115.239672	MotionEnd
1117.018027	RestStart
1117.992222	RestEnd
1121.017827	MotionStart
1136.010825	MotionEnd
1139.907604	RestStart
1140.882799	RestEnd
1143.894401	MotionStart
1158.890400	MotionEnd
1160.743771	RestStart
1161.712964	RestEnd
1164.743570	MotionStart
1179.738348	MotionEnd
1182.283603	RestStart
1183.258701	RestEnd
1186.299005	MotionStart
1201.286503	MotionEnd
1204.177793	RestStart
1205.172892	RestEnd
1208.209196	MotionStart
1223.178692	MotionEnd
1225.261900	RestStart
1226.255000	RestEnd
1229.263301	MotionStart
1244.276802	MotionEnd
1246.265001	RestStart
1247.256100	RestEnd
1250.273401	MotionStart
1265.263900	MotionEnd
1268.164190	RestStart
1269.149289	RestEnd
1272.158590	MotionStart
1287.158090	MotionEnd
1289.258299	RestStart
1290.222396	RestEnd
1293.255699	MotionStart
1308.259200	MotionEnd
1311.025476	RestStart
1311.999574	RestEnd
1315.027876	MotionStart
1330.018375	MotionEnd
1332.412615	RestStart
1333.418715	RestEnd
1336.420015	MotionStart
1351.408514	MotionEnd
1353.802753	RestStart
1354.802854	RestEnd
1357.813154	MotionStart
1372.825655	MotionEnd
1376.591032	RestStart
1377.561129	RestEnd
1380.599433	MotionStart
1395.590932	MotionEnd
1457.498122	RestStart
1458.509223	RestEnd
1461.516524	MotionStart
1476.506022	MotionEnd
1478.527225	RestStart
1479.517324	RestEnd
1482.535625	MotionStart
1497.506122	MotionEnd
1499.357307	RestStart
1500.347406	RestEnd
1503.347706	MotionStart
1518.334205	MotionEnd
1521.328504	RestStart
1522.331604	RestEnd
1525.338905	MotionStart
1540.330404	MotionEnd
1542.986670	RestStart
