latency	type
360.624139	RestStart
361.649139	RestEnd
364.630139	MotionStart
379.651139	MotionEnd
383.112139	RestStart
384.124139	RestEnd
387.139139	MotionStart
402.108139	MotionEnd
405.202139	RestStart
406.206139	RestEnd
409.220138	MotionStart
424.193139	MotionEnd
426.227138	RestStart
427.193139	RestEnd
430.201139	MotionStart
445.188139	MotionEnd
448.184139	RestStart
449.161138	RestEnd
452.190139	MotionStart
467.152139	MotionEnd
470.967139	RestStart
471.958139	RestEnd
474.975139	MotionStart
489.950139	MotionEnd
492.239139	RestStart
493.232139	RestEnd
496.233139	MotionStart
511.249139	MotionEnd
513.236139	RestStart
514.232139	RestEnd
517.248139	MotionStart
532.237139	MotionEnd
534.471139	RestStart
535.470138	RestEnd
538.486139	MotionStart
553.489139	MotionEnd
555.714139	RestStart
556.709139	RestEnd
559.720138	MotionStart
574.698516	MotionEnd
577.541653	RestStart
578.518043	RestEnd
581.539251	MotionStart
596.526244	MotionEnd
598.650093	RestStart
599.661498	RestEnd
602.668700	MotionStart
617.650691	MotionEnd
620.160694	RestStart
621.171098	RestEnd
624.155291	MotionStart
639.176297	MotionEnd
641.562251	RestStart
642.567653	RestEnd
645.569854	MotionStart
660.587858	MotionEnd
666.856365	RestStart
667.811747	RestEnd
670.812947	MotionStart
685.822948	MotionEnd
687.809743	RestStart
688.802140	RestEnd
691.796337	MotionStart
706.797335	MotionEnd
708.758119	RestStart
709.769523	RestEnd
712.769723	MotionStart
727.771721	MotionEnd
735.510816	RestStart
736.512216	RestEnd
739.509414	MotionStart
754.483402	MotionEnd
756.843345	RestStart
757.836742	RestEnd
760.878959	MotionStart
775.853946	MotionEnd
778.337940	RestStart
779.331337	RestEnd
782.347543	MotionStart
797.341538	MotionEnd
799.185275	RestStart
800.188676	RestEnd
803.185875	MotionStart
818.200878	MotionEnd
820.251698	RestStart
821.231090	RestEnd
824.247296	MotionStart
839.241291	MotionEnd
841.671263	RestStart
842.666661	RestEnd
845.677864	MotionStart
860.660856	MotionEnd
899.552270	RestStart
900.529466	RestEnd
903.546069	MotionStart
918.536066	MotionEnd
921.620683	RestStart
922.611881	RestEnd
925.630485	MotionStart
940.603479	MotionEnd
942.765912	RestStart
943.737105	RestEnd
946.753709	MotionStart
961.757709	MotionEnd
964.608279	RestStart
965.592476	RestEnd
968.620081	MotionStart
983.606078	MotionEnd
985.815519	RestStart
986.804717	RestEnd
989.821320	MotionStart
1004.790314	MotionEnd
1006.990754	RestStart
1007.997955	RestEnd
1011.015559	MotionStart
1026.008556	MotionEnd
1028.284011	RestStart
1029.281211	RestEnd
1032.274809	MotionStart
1047.279810	MotionEnd
1050.281410	RestStart
1051.306615	RestEnd
1054.287211	MotionStart
1069.297213	MotionEnd
1071.454644	RestStart
1072.463846	RestEnd
1075.474448	MotionStart
1090.469446	MotionEnd
1092.591871	RestStart
1093.586070	RestEnd
1096.633679	MotionStart
1111.600672	MotionEnd
1113.379027	RestStart
1114.353222	RestEnd
1117.378827	MotionStart
1132.371825	MotionEnd
1136.268604	RestStart
1137.243799	RestEnd
1140.255401	MotionStart
1155.251400	MotionEnd
1157.104771	RestStart
1158.073964	RestEnd
1161.104570	MotionStart
1176.099348	MotionEnd
1178.644603	RestStart
1179.619701	RestEnd
1182.660005	MotionStart
1197.647503	MotionEnd
1200.538793	RestStart
1201.533892	RestEnd
1204.570196	MotionStart
1219.539692	MotionEnd
1221.622900	RestStart
1222.616000	RestEnd
1225.624301	MotionStart
1240.637802	MotionEnd
1242.626001	RestStart
1243.617100	RestEnd
1246.634401	MotionStart
1261.624900	MotionEnd
1264.525190	RestStart
1265.510289	RestEnd
1268.519590	MotionStart
1283.519090	MotionEnd
1285.619299	RestStart
1286.583396	RestEnd
1289.616699	MotionStart
1304.620200	MotionEnd
1307.386476	RestStart
1308.360574	RestEnd
1311.388876	MotionStart
1326.379375	MotionEnd
1328.773615	RestStart
1329.779715	RestEnd
1332.781015	MotionStart
1347.769514	MotionEnd
1350.163753	RestStart
1351.163854	RestEnd
1354.174154	MotionStart
1369.186655	MotionEnd
1372.952032	RestStart
1373.922129	RestEnd
1376.960433	MotionStart
1391.951932	MotionEnd
1453.859122	RestStart
1454.870223	RestEnd
1457.877524	MotionStart
1472.867022	MotionEnd
1474.888225	RestStart
1475.878324	RestEnd
1478.896625	MotionStart
1493.867122	MotionEnd
1495.718307	RestStart
1496.708406	RestEnd
1499.708706	MotionStart
1514.695205	MotionEnd
1517.689504	RestStart
1518.692604	RestEnd
1521.699905	MotionStart
1536.691404	MotionEnd
1539.347670	RestStart
1540.311766	RestEnd
1543.357071	MotionStart
1558.315566	MotionEnd
1560.582793	RestStart
1561.581893	RestEnd
1564.617197	MotionStart
1579.581693	MotionEnd
1582.101945	RestStart
1583.094044	RestEnd
1586.076343	MotionStart
1601.102526	MotionEnd
1603.172526	RestStart
1604.161526	RestEnd
1607.173526	MotionStart
1622.153526	MotionEnd
1623.725526	RestStart
1624.726526	RestEnd
1627.737526	MotionStart
1642.715526	MotionEnd
1644.839526	RestStart
1645.833526	RestEnd
1648.849526	MotionStart
1663.832526	MotionEnd
1667.795526	RestStart
1668.795526	RestEnd
1671.828526	MotionStart
1686.809526	MotionEnd
1689.717526	RestStart
1690.704526	RestEnd
1693.730526	MotionStart
1708.705526	MotionEnd
1711.884526	RestStart
1712.913526	RestEnd
1715.907526	MotionStart
1730.867526	MotionEnd
1732.621526	RestStart
1733.603526	RestEnd
1736.621526	MotionStart
1751.600526	MotionEnd
1754.030526	RestStart
1755.031526	RestEnd
1758.045526	MotionStart
1773.028526	MotionEnd
1775.396526	RestStart
1776.385526	RestEnd
1779.404526	MotionStart
1794.380526	MotionEnd
1796.409526	RestStart
1797.423526	RestEnd
1800.424526	MotionStart
1815.411526	MotionEnd
1818.970526	RestStart
1819.962526	RestEnd
1822.970526	MotionStart
1837.970526	MotionEnd
1841.376526	RestStart
1842.352526	RestEnd
1845.382526	MotionStart
1860.374526	MotionEnd
1863.015526	RestStart
1864.011526	RestEnd
1867.020526	MotionStart
1881.999526	MotionEnd
1884.253526	RestStart
1885.254526	RestEnd
1888.246526	MotionStart
1903.273526	MotionEnd
1908.704526	RestStart
1909.698526	RestEnd
1912.708526	MotionStart
1927.718526	MotionEnd
1929.972526	RestStart
1930.955526	RestEnd
1933.973526	MotionStart
1948.991526	MotionEnd
2056.678526	RestStart
2057.685526	RestEnd
2060.702526	MotionStart
2075.692526	MotionEnd
2078.135526	RestStart
2079.143526	RestEnd
2082.163526	MotionStart
2097.130526	MotionEnd
2105.309526	RestStart
2106.303526	RestEnd
2109.335526	MotionStart
2124.318526	MotionEnd
2128.430526	RestStart
2129.423526	RestEnd
2132.428526	MotionStart
2147.408526	MotionEnd
2149.804526	RestStart
2150.813526	RestEnd
2153.817526	MotionStart
2168.794526	MotionEnd
2170.645526	RestStart
2171.636526	RestEnd
2174.677526	MotionStart
2189.635526	MotionEnd
2192.028526	RestStart
2193.022526	RestEnd
2196.014526	MotionStart
2211.025526	MotionEnd
2212.797526	RestStart
2213.779526	RestEnd
2216.802526	MotionStart
2231.798526	MotionEnd
2233.799526	RestStart
2234.779526	RestEnd
2237.798526	MotionStart
2252.780526	MotionEnd
2256.601526	RestStart
2257.597526	RestEnd
2260.615526	MotionStart
2275.605526	MotionEnd
2279.982526	RestStart
2280.976526	RestEnd
2283.974526	MotionStart
2298.958526	MotionEnd
2301.876526	RestStart
2302.885526	RestEnd
2305.891526	MotionStart
2320.884526	MotionEnd
2323.250526	RestStart
2324.232526	RestEnd
2327.259526	MotionStart
2342.226526	MotionEnd
2344.639526	RestStart
2345.614526	RestEnd
2348.625526	MotionStart
2363.633526	MotionEnd
2371.279526	RestStart
2372.259526	RestEnd
2375.289526	MotionStart
2390.262526	MotionEnd
2393.992526	RestStart
2394.988526	RestEnd
2397.986526	MotionStart
2412.981526	MotionEnd
2416.630526	RestStart
2417.631526	RestEnd
2420.622526	MotionStart
2435.616526	MotionEnd
2437.415526	RestStart
2438.407526	RestEnd
2441.413526	MotionStart
2456.413526	MotionEnd
2460.164526	RestStart
2461.155526	RestEnd
2464.176526	MotionStart
2479.142526	MotionEnd
2481.295526	RestStart
2482.260526	RestEnd
2485.289526	MotionStart
2500.267526	MotionEnd
2502.329526	RestStart
2503.342526	RestEnd
2506.344526	MotionStart
2521.332526	MotionEnd
2524.721526	RestStart
2525.710526	RestEnd
2528.714526	MotionStart
2543.702526	MotionEnd
2545.886526	RestStart
2546.862526	RestEnd
2549.881526	MotionStart
2564.857526	MotionEnd
2631.067526	RestStart
2632.091526	RestEnd
2635.101526	MotionStart
2650.082526	MotionEnd
2653.385526	RestStart
2654.377526	RestEnd
2657.417526	MotionStart
2672.370526	MotionEnd
2675.342526	RestStart
2676.323526	RestEnd
2679.369526	MotionStart
2694.326526	MotionEnd
2697.386526	RestStart
2698.380526	RestEnd
2701.409526	MotionStart
2716.366526	MotionEnd
2718.883526	RestStart
2719.862526	RestEnd
2722.894526	MotionStart
2737.845526	MotionEnd
2741.200526	RestStart
2742.173526	RestEnd
2745.222526	MotionStart
2760.198526	MotionEnd
2762.480526	RestStart
2763.502526	RestEnd
2766.504526	MotionStart
2781.505526	MotionEnd
2783.829526	RestStart
2784.812526	RestEnd
2787.835526	MotionStart
2802.795526	MotionEnd
2805.467526	RestStart
2806.459526	RestEnd
2809.479526	MotionStart
2824.467526	MotionEnd
2827.459526	RestStart
2828.464526	RestEnd
2831.453526	MotionStart
2846.447526	MotionEnd
2849.915526	RestStart
2850.907526	RestEnd
