latency	type
232.537468	RestStart
233.554569	RestEnd
236.552869	MotionStart
251.529367	MotionEnd
253.515565	RestStart
254.499664	RestEnd
257.517966	MotionStart
272.502464	MotionEnd
274.992713	RestStart
275.979811	RestEnd
278.991112	MotionStart
293.984612	MotionEnd
295.969810	RestStart
296.960909	RestEnd
299.980211	MotionStart
314.968710	MotionEnd
318.343047	RestStart
319.323145	RestEnd
322.350448	MotionStart
337.328946	MotionEnd
339.501163	RestStart
340.490262	RestEnd
343.436557	MotionStart
358.488061	MotionEnd
360.397252	RestStart
361.385351	RestEnd
364.425655	MotionStart
379.387151	MotionEnd
381.245337	RestStart
382.237436	RestEnd
385.236736	MotionStart
400.224235	MotionEnd
402.847497	RestStart
403.814594	RestEnd
406.856898	MotionStart
421.823395	MotionEnd
424.015613	RestStart
425.009713	RestEnd
428.019014	MotionStart
443.021514	MotionEnd
444.864698	RestStart
445.858798	RestEnd
448.886101	MotionStart
463.881600	MotionEnd
465.554767	RestStart
466.548866	RestEnd
469.554167	MotionStart
484.539665	MotionEnd
486.366848	RestStart
487.339946	RestEnd
490.359247	MotionStart
505.356747	MotionEnd
507.760987	RestStart
508.758087	RestEnd
511.756386	MotionStart
526.762887	MotionEnd
532.588470	RestStart
533.579569	RestEnd
536.579869	MotionStart
551.566367	MotionEnd
553.521563	RestStart
554.495660	RestEnd
557.507961	MotionStart
572.500460	MotionEnd
574.622673	RestStart
575.617772	RestEnd
578.634074	MotionStart
593.625573	MotionEnd
595.810791	RestStart
596.789889	RestEnd
599.823192	MotionStart
614.827693	MotionEnd
616.334843	RestStart
617.335943	RestEnd
620.362246	MotionStart
635.338744	MotionEnd
637.288939	RestStart
638.265036	RestEnd
641.281338	MotionStart
656.263836	MotionEnd
658.147024	RestStart
659.140124	RestEnd
662.128422	MotionStart
677.117921	MotionEnd
683.162525	RestStart
684.138623	RestEnd
687.168926	MotionStart
702.149424	MotionEnd
704.518661	RestStart
705.502759	RestEnd
708.499059	MotionStart
723.499559	MotionEnd
743.545563	RestStart
744.521661	RestEnd
747.542963	MotionStart
762.541463	MotionEnd
764.954704	RestStart
765.954804	RestEnd
768.969105	MotionStart
783.955604	MotionEnd
786.100818	RestStart
787.083917	RestEnd
790.110219	MotionStart
805.073715	MotionEnd
807.357944	RestStart
808.354044	RestEnd
811.351343	MotionStart
826.366844	MotionEnd
828.160024	RestStart
829.153123	RestEnd
832.186426	MotionStart
847.180926	MotionEnd
848.766084	RestStart
849.735181	RestEnd
852.762484	MotionStart
867.749983	MotionEnd
870.162224	RestStart
871.144322	RestEnd
874.139621	MotionStart
889.134121	MotionEnd
893.489556	RestStart
894.475655	RestEnd
897.509958	MotionStart
912.490456	MotionEnd
914.800687	RestStart
915.792786	RestEnd
918.813088	MotionStart
933.783585	MotionEnd
935.751782	RestStart
936.762883	RestEnd
939.777185	MotionStart
954.777684	MotionEnd
959.707177	RestStart
960.684275	RestEnd
963.727579	MotionStart
978.704077	MotionEnd
980.736280	RestStart
981.694376	RestEnd
984.739681	MotionStart
999.700176	MotionEnd
1001.721378	RestStart
1002.696476	RestEnd
1005.731779	MotionStart
1020.707277	MotionEnd
1022.828489	RestStart
1023.802586	RestEnd
1026.822888	MotionStart
1041.806386	MotionEnd
1043.736580	RestStart
1044.743680	RestEnd
1047.767983	MotionStart
1062.760482	MotionEnd
1065.584764	RestStart
1066.576863	RestEnd
1069.593165	MotionStart
1084.577663	MotionEnd
1086.308836	RestStart
1087.303936	RestEnd
1090.302235	MotionStart
1105.293734	MotionEnd
1110.944299	RestStart
1111.936399	RestEnd
1114.944700	MotionStart
1129.930198	MotionEnd
1131.505356	RestStart
1132.494454	RestEnd
1135.506756	MotionStart
1150.519257	MotionEnd
1154.540659	RestStart
1155.541759	RestEnd
1158.566061	MotionStart
1173.544559	MotionEnd
1175.223727	RestStart
1176.223827	RestEnd
1179.226127	MotionStart
1194.215626	MotionEnd
1196.096814	RestStart
1197.104915	RestEnd
1200.093213	MotionStart
1215.109715	MotionEnd
1217.309935	RestStart
1218.299034	RestEnd
1221.330337	MotionStart
1236.308835	MotionEnd
1279.277131	RestStart
1280.287232	RestEnd
1283.303534	MotionStart
1298.262029	MotionEnd
1300.414244	RestStart
1301.406344	RestEnd
1304.417645	MotionStart
1319.413144	MotionEnd
1321.699373	RestStart
1322.717475	RestEnd
1325.718775	MotionStart
1340.704273	MotionEnd
1342.878491	RestStart
1343.873590	RestEnd
1346.900893	MotionStart
1361.881391	MotionEnd
1363.716574	RestStart
1364.693672	RestEnd
1367.705973	MotionStart
1382.714474	MotionEnd
1384.606663	RestStart
1385.617764	RestEnd
1388.626065	MotionStart
1403.604562	MotionEnd
1405.495752	RestStart
1406.499852	RestEnd
1409.514154	MotionStart
1424.503652	MotionEnd
1426.708873	RestStart
1427.689971	RestEnd
1430.722274	MotionStart
1445.690771	MotionEnd
1448.269028	RestStart
1449.253127	RestEnd
1452.259428	MotionStart
1467.263928	MotionEnd
1468.900091	RestStart
1469.896191	RestEnd
1472.900491	MotionStart
1487.906992	MotionEnd
1490.346236	RestStart
1491.325334	RestEnd
1494.347636	MotionStart
1509.360137	MotionEnd
1510.890290	RestStart
1511.879389	RestEnd
1514.901691	MotionStart
1529.901191	MotionEnd
1533.605561	RestStart
1534.613662	RestEnd
1537.605962	MotionStart
1552.617462	MotionEnd
1554.610662	RestStart
1555.611762	RestEnd
1558.615062	MotionStart
1573.591560	MotionEnd
1577.593960	RestStart
1578.603060	RestEnd
1581.589359	MotionStart
1596.600860	MotionEnd
1598.340034	RestStart
1599.353135	RestEnd
1602.363436	MotionStart
1617.340934	MotionEnd
1619.397140	RestStart
1620.405240	RestEnd
1623.398540	MotionStart
1638.386039	MotionEnd
1640.628263	RestStart
1641.604360	RestEnd
1644.626662	MotionStart
1659.593159	MotionEnd
1663.213521	RestStart
1664.215621	RestEnd
1667.233923	MotionStart
1682.233422	MotionEnd
1684.687668	RestStart
1685.679767	RestEnd
1688.715071	MotionStart
1703.671566	MotionEnd
1705.386738	RestStart
1706.376837	RestEnd
1709.390138	MotionStart
1724.394638	MotionEnd
1726.758875	RestStart
1727.768976	RestEnd
1730.768275	MotionStart
1745.760775	MotionEnd
1750.108209	RestStart
1751.086307	RestEnd
1754.099609	MotionStart
1769.110110	MotionEnd
1808.174015	RestStart
1809.167115	RestEnd
1812.168415	MotionStart
1827.160914	MotionEnd
1830.476246	RestStart
1831.428341	RestEnd
1834.462644	MotionStart
1849.449143	MotionEnd
1852.409439	RestStart
1853.395537	RestEnd
1856.399838	MotionStart
1871.409338	MotionEnd
1874.468644	RestStart
1875.434741	RestEnd
1878.468044	MotionStart
1893.452543	MotionEnd
1895.750772	RestStart
1896.737871	RestEnd
1899.755172	MotionStart
1914.729670	MotionEnd
1918.422039	RestStart
1919.419139	RestEnd
1922.417439	MotionStart
1937.408938	MotionEnd
1939.584155	RestStart
1940.570254	RestEnd
1943.574554	MotionStart
1958.574054	MotionEnd
1962.114408	RestStart
1963.111508	RestEnd
1966.144811	MotionStart
1981.123309	MotionEnd
1983.019498	RestStart
1983.996596	RestEnd
1987.031900	MotionStart
2002.023399	MotionEnd
2004.568653	RestStart
2005.550751	RestEnd
2008.564052	MotionStart
2023.568553	MotionEnd
2025.282724	RestStart
2026.274823	RestEnd
2029.296126	MotionStart
2044.286624	MotionEnd
2046.839880	RestStart
2047.797975	RestEnd
2050.821278	MotionStart
2065.823778	MotionEnd
2067.924988	RestStart
2068.928088	RestEnd
2071.948390	MotionStart
2086.930888	MotionEnd
2089.295125	RestStart
2090.287224	RestEnd
2093.299525	MotionStart
2108.295025	MotionEnd
2110.584254	RestStart
2111.573353	RestEnd
2114.579653	MotionStart
2129.563151	MotionEnd
2133.252520	RestStart
2134.232618	RestEnd
2137.248920	MotionStart
2152.218416	MotionEnd
2154.719667	RestStart
2155.712766	RestEnd
2158.731068	MotionStart
2173.727567	MotionEnd
2176.346829	RestStart
2177.343929	RestEnd
2180.340228	MotionStart
2195.332728	MotionEnd
2201.546349	RestStart
2202.548449	RestEnd
2205.549749	MotionStart
2220.565251	MotionEnd
2222.962490	RestStart
2223.955590	RestEnd
2226.973891	MotionStart
2241.952389	MotionEnd
2243.546549	RestStart
2244.532647	RestEnd
2247.545948	MotionStart
2262.540447	MotionEnd
2264.421636	RestStart
2265.417735	RestEnd
2268.427036	MotionStart
2283.420535	MotionEnd
2286.081802	RestStart
2287.053899	RestEnd
2290.099203	MotionStart
2305.090702	MotionEnd
2349.722165	RestStart
2350.702263	RestEnd
2353.732566	MotionStart
2368.708063	MotionEnd
2374.177610	RestStart
2375.189711	RestEnd
2378.214014	MotionStart
2393.189511	MotionEnd
2400.140206	RestStart
2401.138306	RestEnd
2404.150607	MotionStart
2419.145107	MotionEnd
2423.781570	RestStart
2424.791671	RestEnd
2427.788971	MotionStart
2442.793471	MotionEnd
2445.847777	RestStart
2446.836875	RestEnd
2449.852177	MotionStart
2464.828675	MotionEnd
2468.577049	RestStart
2469.572149	RestEnd
2472.594451	MotionStart
2487.579949	MotionEnd
2493.435535	RestStart
2494.430634	RestEnd
2497.447936	MotionStart
2512.441435	MotionEnd
2515.464738	RestStart
2516.432834	RestEnd
2519.442135	MotionStart
2534.446635	MotionEnd
2537.257917	RestStart
2538.267018	RestEnd
2541.263317	MotionStart
2556.258816	MotionEnd
2559.029093	RestStart
2560.005191	RestEnd
2563.037494	MotionStart
2578.032994	MotionEnd
2580.541245	RestStart
2581.550346	RestEnd
2584.548645	MotionStart
2599.510141	MotionEnd
2604.202610	RestStart
2605.211711	RestEnd
2608.212011	MotionStart
2623.203510	MotionEnd
2625.437734	RestStart
2626.462836	RestEnd
2629.459136	MotionStart
2644.441634	MotionEnd
2646.999890	RestStart
2648.004990	RestEnd
2651.038294	MotionStart
2665.989788	MotionEnd
2668.952085	RestStart
2669.921181	RestEnd
2672.945484	MotionStart
2687.932983	MotionEnd
2690.941283	RestStart
2691.901379	RestEnd
2694.925682	MotionStart
2709.919181	MotionEnd
2712.739463	RestStart
