latency	type
251.346178	RestStart
252.333277	RestEnd
255.362580	MotionStart
270.336077	MotionEnd
273.109354	RestStart
274.083452	RestEnd
277.111755	MotionStart
292.086252	MotionEnd
294.067450	RestStart
295.068550	RestEnd
298.086852	MotionStart
313.073350	MotionEnd
315.276571	RestStart
316.258669	RestEnd
319.273970	MotionStart
334.278471	MotionEnd
336.476691	RestStart
337.477791	RestEnd
340.489092	MotionStart
355.482591	MotionEnd
357.265769	RestStart
358.268870	RestEnd
361.292172	MotionStart
376.272670	MotionEnd
378.575900	RestStart
379.586001	RestEnd
382.579300	MotionStart
397.565799	MotionEnd
402.174259	RestStart
403.156358	RestEnd
406.168659	MotionStart
421.169159	MotionEnd
423.912433	RestStart
424.908533	RestEnd
427.935836	MotionStart
442.924334	MotionEnd
445.349577	RestStart
446.341676	RestEnd
449.366978	MotionStart
464.353477	MotionEnd
466.950737	RestStart
467.928834	RestEnd
470.938135	MotionStart
485.918633	MotionEnd
489.218963	RestStart
490.212063	RestEnd
493.217363	MotionStart
508.199861	MotionEnd
511.847226	RestStart
512.853327	RestEnd
515.850626	MotionStart
530.852126	MotionEnd
532.865328	RestStart
533.845425	RestEnd
536.859727	MotionStart
551.848225	MotionEnd
554.382479	RestStart
555.375578	RestEnd
558.380879	MotionStart
573.370377	MotionEnd
575.403581	RestStart
576.411681	RestEnd
579.435984	MotionStart
594.406481	MotionEnd
596.375678	RestStart
597.361777	RestEnd
600.373078	MotionStart
615.355576	MotionEnd
617.252765	RestStart
618.233864	RestEnd
621.243164	MotionStart
636.250665	MotionEnd
639.395979	RestStart
640.393079	RestEnd
643.421382	MotionStart
658.427882	MotionEnd
661.233163	RestStart
662.231263	RestEnd
665.248564	MotionStart
680.260065	MotionEnd
682.323272	RestStart
683.313370	RestEnd
686.317671	MotionStart
701.292168	MotionEnd
704.155455	RestStart
705.145554	RestEnd
708.145854	MotionStart
723.130352	MotionEnd
725.032542	RestStart
726.007640	RestEnd
729.025942	MotionStart
744.012440	MotionEnd
761.579197	RestStart
762.586297	RestEnd
765.594598	MotionStart
780.599098	MotionEnd
782.890327	RestStart
783.900429	RestEnd
786.923731	MotionStart
801.926231	MotionEnd
804.863525	RestStart
805.840622	RestEnd
808.876926	MotionStart
823.850423	MotionEnd
826.707709	RestStart
827.721810	RestEnd
830.701108	MotionStart
845.689607	MotionEnd
850.758114	RestStart
851.770215	RestEnd
854.757513	MotionStart
869.750013	MotionEnd
871.843222	RestStart
872.842322	RestEnd
875.874625	MotionStart
890.849122	MotionEnd
892.934331	RestStart
893.927430	RestEnd
896.954733	MotionStart
911.939231	MotionEnd
914.533490	RestStart
915.510588	RestEnd
918.535891	MotionStart
933.502387	MotionEnd
936.325670	RestStart
937.322769	RestEnd
940.334070	MotionStart
955.314568	MotionEnd
957.718808	RestStart
958.673904	RestEnd
961.696206	MotionStart
976.706707	MotionEnd
978.855922	RestStart
979.849021	RestEnd
982.855322	MotionStart
997.870823	MotionEnd
999.670003	RestStart
1000.663102	RestEnd
1003.667403	MotionStart
1018.656902	MotionEnd
1020.758112	RestStart
1021.768213	RestEnd
1024.776514	MotionStart
1039.772013	MotionEnd
1043.117347	RestStart
1044.106447	RestEnd
1047.125748	MotionStart
1062.110246	MotionEnd
1064.610497	RestStart
1065.592595	RestEnd
1068.621897	MotionStart
1083.592395	MotionEnd
1086.229658	RestStart
1087.220757	RestEnd
1090.236059	MotionStart
1105.223558	MotionEnd
1107.905826	RestStart
1108.917927	RestEnd
1111.910226	MotionStart
1126.917727	MotionEnd
1129.463981	RestStart
1130.439079	RestEnd
1133.439379	MotionStart
1148.448879	MotionEnd
1150.618097	RestStart
1151.638199	RestEnd
1154.620497	MotionStart
1169.624997	MotionEnd
1171.892224	RestStart
1172.890323	RestEnd
1175.906625	MotionStart
1190.902125	MotionEnd
1193.292363	RestStart
1194.282462	RestEnd
1197.279762	MotionStart
1212.310265	MotionEnd
1215.293564	RestStart
1216.297664	RestEnd
1219.332968	MotionStart
1234.305465	MotionEnd
1236.814715	RestStart
1237.799814	RestEnd
1240.844118	MotionStart
1255.802614	MotionEnd
1290.158049	RestStart
1291.128146	RestEnd
1294.177451	MotionStart
1309.156949	MotionEnd
1314.201453	RestStart
1315.188552	RestEnd
1318.212854	MotionStart
1333.206353	MotionEnd
1336.095642	RestStart
1337.074740	RestEnd
1340.085041	MotionStart
1355.080541	MotionEnd
1357.181751	RestStart
1358.141847	RestEnd
1361.158149	MotionStart
1376.149647	MotionEnd
1377.927825	RestStart
1378.902923	RestEnd
1381.941227	MotionStart
1396.929725	MotionEnd
1398.993932	RestStart
1399.961028	RestEnd
1402.984330	MotionStart
1417.977830	MotionEnd
1419.842016	RestStart
1420.851117	RestEnd
1423.852417	MotionStart
1438.856918	MotionEnd
1440.863118	RestStart
1441.850217	RestEnd
1444.872519	MotionStart
1459.847016	MotionEnd
1461.850217	RestStart
1462.854317	RestEnd
1465.870619	MotionStart
