latency	type
-24.584176	RestStart
-23.578075	RestEnd
-20.576775	MotionStart
-5.572275	MotionEnd
-3.372054	RestStart
-2.399958	RestEnd
0.640347	MotionStart
15.610843	MotionEnd
17.755058	RestStart
18.709153	RestEnd
21.739456	MotionStart
36.697952	MotionEnd
38.907173	RestStart
39.867269	RestEnd
42.897572	MotionStart
57.858068	MotionEnd
60.502332	RestStart
61.500432	RestEnd
64.536736	MotionStart
79.493231	MotionEnd
81.489431	RestStart
82.461528	RestEnd
85.498831	MotionStart
100.454327	MotionEnd
108.530134	RestStart
109.524234	RestEnd
112.521534	MotionStart
127.509032	MotionEnd
130.477329	RestStart
131.476429	RestEnd
134.487730	MotionStart
149.475228	MotionEnd
152.187500	RestStart
153.168598	RestEnd
156.200901	MotionStart
171.195400	MotionEnd
176.481929	RestStart
177.441025	RestEnd
180.472328	MotionStart
195.461827	MotionEnd
198.038084	RestStart
199.056186	RestEnd
202.075488	MotionStart
217.042985	MotionEnd
220.168297	RestStart
221.186399	RestEnd
224.188699	MotionStart
239.184198	MotionEnd
241.197400	RestStart
242.195500	RestEnd
245.191799	MotionStart
260.186298	MotionEnd
264.053685	RestStart
265.042784	RestEnd
268.058086	MotionStart
283.048585	MotionEnd
285.943874	RestStart
286.923972	RestEnd
289.949275	MotionStart
304.932773	MotionEnd
306.911971	RestStart
307.889068	RestEnd
310.906370	MotionStart
325.898869	MotionEnd
328.028082	RestStart
329.009180	RestEnd
332.025482	MotionStart
347.027982	MotionEnd
348.992178	RestStart
349.967276	RestEnd
353.001579	MotionStart
367.959075	MotionEnd
371.969476	RestStart
372.981577	RestEnd
375.975876	MotionStart
390.964375	MotionEnd
399.562234	RestStart
400.555334	RestEnd
403.581637	MotionStart
418.556134	MotionEnd
422.597538	RestStart
423.610639	RestEnd
426.589937	MotionStart
441.590909	MotionEnd
444.503909	RestStart
445.513908	RestEnd
448.529909	MotionStart
463.505909	MotionEnd
468.207909	RestStart
469.204908	RestEnd
472.225908	MotionStart
487.197908	MotionEnd
532.836908	RestStart
533.814909	RestEnd
536.833909	MotionStart
551.813909	MotionEnd
554.091909	RestStart
555.084909	RestEnd
558.114909	MotionStart
573.090909	MotionEnd
576.462909	RestStart
577.454908	RestEnd
580.455908	MotionStart
595.462909	MotionEnd
598.300909	RestStart
599.280909	RestEnd
602.310908	MotionStart
617.310908	MotionEnd
619.334909	RestStart
620.291909	RestEnd
623.343908	MotionStart
638.309908	MotionEnd
640.161909	RestStart
641.166909	RestEnd
644.204908	MotionStart
659.172908	MotionEnd
660.851909	RestStart
661.848909	RestEnd
664.864909	MotionStart
679.861909	MotionEnd
682.482909	RestStart
683.482909	RestEnd
686.489909	MotionStart
701.479909	MotionEnd
705.882908	RestStart
706.892909	RestEnd
709.892909	MotionStart
724.894909	MotionEnd
733.925909	RestStart
734.925909	RestEnd
737.929908	MotionStart
752.929908	MotionEnd
754.720909	RestStart
755.711908	RestEnd
758.747909	MotionStart
773.716909	MotionEnd
775.866909	RestStart
776.830908	RestEnd
779.854909	MotionStart
794.849908	MotionEnd
804.673909	RestStart
805.652908	RestEnd
808.664908	MotionStart
823.665908	MotionEnd
825.978909	RestStart
826.968908	RestEnd
829.970909	MotionStart
844.982909	MotionEnd
846.636909	RestStart
847.619908	RestEnd
850.642909	MotionStart
865.644909	MotionEnd
867.496909	RestStart
868.483909	RestEnd
871.493908	MotionStart
886.479909	MotionEnd
888.341909	RestStart
889.334909	RestEnd
892.341909	MotionStart
907.326909	MotionEnd
909.184908	RestStart
910.162909	RestEnd
913.165908	MotionStart
928.166909	MotionEnd
930.664908	RestStart
931.660909	RestEnd
934.658908	MotionStart
949.645908	MotionEnd
952.690909	RestStart
953.665908	RestEnd
956.689909	MotionStart
971.668909	MotionEnd
978.664908	RestStart
979.669909	RestEnd
982.653909	MotionStart
997.651908	MotionEnd
1000.789908	RestStart
1001.789908	RestEnd
1004.807909	MotionStart
1019.811909	MotionEnd
1021.980908	RestStart
1022.976909	RestEnd
1025.968908	MotionStart
1040.961908	MotionEnd
1139.211908	RestStart
1140.201909	RestEnd
1143.223909	MotionStart
1158.213909	MotionEnd
1160.697908	RestStart
1161.693909	RestEnd
1164.696909	MotionStart
1179.692908	MotionEnd
1182.376908	RestStart
1183.369908	RestEnd
1186.402908	MotionStart
1201.375908	MotionEnd
1205.659908	RestStart
1206.655909	RestEnd
1209.659908	MotionStart
1224.638908	MotionEnd
1228.248909	RestStart
1229.251908	RestEnd
1232.256909	MotionStart
1247.249909	MotionEnd
1250.201909	RestStart
1251.198908	RestEnd
1254.183909	MotionStart
1269.169909	MotionEnd
1271.053908	RestStart
1272.077909	RestEnd
1275.078909	MotionStart
1290.064909	MotionEnd
1292.863908	RestStart
1293.866909	RestEnd
1296.878909	MotionStart
1311.870909	MotionEnd
1313.982909	RestStart
1314.984909	RestEnd
1317.996909	MotionStart
1333.006909	MotionEnd
1335.160909	RestStart
1336.129909	RestEnd
1339.149909	MotionStart
1354.123909	MotionEnd
1356.299909	RestStart
1357.291909	RestEnd
1360.319909	MotionStart
1375.300909	MotionEnd
1378.083909	RestStart
1379.060908	RestEnd
1382.105908	MotionStart
1397.086908	MotionEnd
1399.546908	RestStart
1400.543909	RestEnd
1403.545909	MotionStart
1418.544909	MotionEnd
1421.302909	RestStart
1422.295909	RestEnd
1425.297908	MotionStart
1440.280909	MotionEnd
1442.180909	RestStart
1443.179908	RestEnd
1446.187909	MotionStart
1461.195909	MotionEnd
1463.229909	RestStart
1464.227909	RestEnd
1467.233909	MotionStart
1482.255909	MotionEnd
1487.549909	RestStart
1488.533908	RestEnd
1491.543909	MotionStart
1506.549909	MotionEnd
1508.688909	RestStart
1509.684908	RestEnd
1512.719909	MotionStart
1527.690909	MotionEnd
1531.283908	RestStart
1532.256909	RestEnd
1535.279909	MotionStart
1550.245909	MotionEnd
1553.083909	RestStart
1554.058909	RestEnd
1557.065909	MotionStart
1572.065909	MotionEnd
1573.605908	RestStart
1574.610909	RestEnd
1577.618908	MotionStart
1592.614909	MotionEnd
1594.656909	RestStart
1595.647909	RestEnd
1598.663909	MotionStart
1613.641909	MotionEnd
1616.784908	RestStart
1617.777908	RestEnd
1620.796908	MotionStart
1635.769909	MotionEnd
1637.477909	RestStart
1638.470909	RestEnd
1641.490909	MotionStart
1656.473909	MotionEnd
1781.958909	RestStart
1782.940909	RestEnd
1785.975908	MotionStart
1800.950909	MotionEnd
1808.411909	RestStart
1809.409908	RestEnd
1812.428908	MotionStart
1827.406909	MotionEnd
1831.898909	RestStart
1832.887909	RestEnd
1835.890909	MotionStart
1850.911909	MotionEnd
1853.221909	RestStart
1854.216909	RestEnd
1857.216909	MotionStart
1872.190909	MotionEnd
1874.241909	RestStart
1875.217908	RestEnd
1878.236909	MotionStart
1893.236909	MotionEnd
1895.135909	RestStart
1896.120909	RestEnd
1899.144909	MotionStart
1914.138908	MotionEnd
1916.218908	RestStart
1917.195909	RestEnd
1920.213909	MotionStart
1935.234909	MotionEnd
1937.119908	RestStart
1938.108909	RestEnd
1941.093908	MotionStart
1956.100908	MotionEnd
1958.315909	RestStart
1959.314909	RestEnd
1962.325909	MotionStart
1977.315909	MotionEnd
1979.271908	RestStart
1980.276908	RestEnd
1983.289908	MotionStart
1998.266909	MotionEnd
2000.146908	RestStart
2001.120909	RestEnd
2004.156909	MotionStart
2019.137909	MotionEnd
2022.534908	RestStart
2023.509909	RestEnd
2026.531909	MotionStart
2041.510909	MotionEnd
2045.741909	RestStart
2046.716909	RestEnd
2049.730908	MotionStart
2064.729909	MotionEnd
2067.888908	RestStart
2068.867909	RestEnd
2071.883909	MotionStart
2086.859909	MotionEnd
2088.844909	RestStart
2089.824909	RestEnd
2092.853909	MotionStart
2107.831909	MotionEnd
2111.587909	RestStart
2112.579908	RestEnd
2115.583909	MotionStart
2130.587909	MotionEnd
2132.906909	RestStart
2133.911909	RestEnd
2136.912909	MotionStart
2151.887909	MotionEnd
2154.164908	RestStart
2155.171908	RestEnd
2158.189909	MotionStart
2173.163909	MotionEnd
2175.268909	RestStart
2176.247909	RestEnd
2179.287909	MotionStart
2194.253909	MotionEnd
2198.996909	RestStart
2199.976909	RestEnd
2203.006909	MotionStart
2217.986909	MotionEnd
2221.057909	RestStart
2222.023909	RestEnd
2225.057909	MotionStart
2240.035909	MotionEnd
2244.249909	RestStart
2245.231908	RestEnd
2248.253909	MotionStart
2263.210908	MotionEnd
2292.397909	RestStart
2293.409908	RestEnd
2296.427909	MotionStart
2311.396908	MotionEnd
2315.901908	RestStart
2316.896908	RestEnd
2319.910909	MotionStart
2334.909908	MotionEnd
2337.711908	RestStart
2338.715909	RestEnd
2341.713909	MotionStart
2356.690909	MotionEnd
2359.936909	RestStart
2360.950909	RestEnd
2363.934908	MotionStart
2378.920909	MotionEnd
2381.684908	RestStart
2382.669909	RestEnd
2385.675909	MotionStart
2400.669909	MotionEnd
2403.242909	RestStart
2404.203909	RestEnd
2407.213909	MotionStart
2422.200909	MotionEnd
2425.196909	RestStart
2426.206909	RestEnd
2429.210908	MotionStart
2444.198908	MotionEnd
2446.930909	RestStart
2447.907909	RestEnd
2450.927909	MotionStart
2465.918909	MotionEnd
2472.716909	RestStart
2473.685908	RestEnd
2476.726909	MotionStart
2491.724908	MotionEnd
2495.943909	RestStart
2496.946909	RestEnd
2499.944909	MotionStart
2514.968908	MotionEnd
2521.378909	RestStart
2522.374909	RestEnd
2525.379909	MotionStart
2540.378909	MotionEnd
2543.775909	RestStart
2544.752909	RestEnd
2547.774909	MotionStart
2562.757908	MotionEnd
2565.965909	RestStart
2566.957909	RestEnd
2569.961908	MotionStart
2584.951909	MotionEnd
2587.790908	RestStart
2588.762909	RestEnd
2591.780909	MotionStart
2606.788909	MotionEnd
2609.476909	RestStart
2610.482909	RestEnd
2613.497909	MotionStart
2628.471909	MotionEnd
2631.446909	RestStart
2632.426909	RestEnd
2635.467908	MotionStart
2650.428908	MotionEnd
2652.854909	RestStart
2653.853909	RestEnd
2656.864909	MotionStart
2671.820909	MotionEnd
2674.250908	RestStart
2675.219909	RestEnd
2678.240909	MotionStart
2693.245909	MotionEnd
2695.798909	RestStart
2696.771908	RestEnd
2699.787909	MotionStart
2714.790908	MotionEnd
2717.463909	RestStart
2718.466909	RestEnd
2721.463909	MotionStart
2736.480908	MotionEnd
2738.821909	RestStart
2739.819909	RestEnd
2742.825909	MotionStart
2757.801909	MotionEnd
2765.065909	RestStart
2766.079908	RestEnd
2769.088909	MotionStart
2784.065909	MotionEnd
2786.185908	RestStart
2787.177909	RestEnd
2790.196909	MotionStart
2805.198908	MotionEnd
2860.268909	RestStart
2861.269909	RestEnd
2864.288909	MotionStart
2879.293909	MotionEnd
2880.277908	RestStart
2881.305909	RestEnd
2884.302909	MotionStart
2899.291909	MotionEnd
2901.032909	RestStart
2902.002909	RestEnd
2905.025909	MotionStart
2920.005909	MotionEnd
2921.610909	RestStart
2922.588909	RestEnd
2925.611909	MotionStart
2940.604909	MotionEnd
2944.797908	RestStart
2945.796908	RestEnd
2948.794909	MotionStart
2963.778909	MotionEnd
2964.810908	RestStart
2965.798909	RestEnd
2968.822908	MotionStart
2983.797908	MotionEnd
2984.831909	RestStart
2985.807909	RestEnd
2988.820909	MotionStart
3003.811909	MotionEnd
3005.502909	RestStart
3006.493908	RestEnd
3009.520908	MotionStart
3024.496909	MotionEnd
3026.138908	RestStart
3027.171908	RestEnd
3030.171908	MotionStart
3045.170909	MotionEnd
3046.163909	RestStart
3047.151908	RestEnd
3050.187909	MotionStart
3065.160909	MotionEnd
3068.255909	RestStart
3069.252909	RestEnd
3072.284908	MotionStart
3087.241909	MotionEnd
3090.163909	RestStart
3091.154909	RestEnd
3094.167909	MotionStart
3109.144909	MotionEnd
3110.148909	RestStart
3111.177909	RestEnd
3114.177909	MotionStart
3129.164908	MotionEnd
3130.172908	RestStart
3131.164908	RestEnd
3134.183909	MotionStart
3149.158908	MotionEnd
3150.193909	RestStart
3151.158908	RestEnd
3154.207909	MotionStart
3169.163909	MotionEnd
3170.850908	RestStart
3171.835908	RestEnd
3174.847909	MotionStart
3189.844909	MotionEnd
3191.508909	RestStart
3192.504909	RestEnd
3195.499909	MotionStart
3210.510909	MotionEnd
3212.130909	RestStart
3213.111909	RestEnd
3216.124909	MotionStart
3231.114909	MotionEnd
3232.715909	RestStart
3233.727909	RestEnd
3236.725908	MotionStart
3251.725908	MotionEnd
3254.263908	RestStart
3255.283908	RestEnd
3258.269909	MotionStart
3273.257908	MotionEnd
3275.126908	RestStart
3276.142909	RestEnd
3279.135909	MotionStart
3294.142909	MotionEnd
3296.243908	RestStart
3297.245909	RestEnd
3300.276908	MotionStart
3315.255909	MotionEnd
3319.609909	RestStart
3320.601909	RestEnd
3323.616909	MotionStart
3338.619908	MotionEnd
3339.615909	RestStart
3340.610909	RestEnd
3343.626908	MotionStart
3358.626908	MotionEnd
3362.323908	RestStart
3363.301909	RestEnd
3366.319909	MotionStart
3381.319909	MotionEnd
3383.949909	RestStart
3384.965909	RestEnd
3387.954908	MotionStart
3402.938909	MotionEnd
3406.640909	RestStart
3407.634909	RestEnd
3410.648909	MotionStart
3425.632908	MotionEnd
3428.453909	RestStart
3429.443909	RestEnd
3432.458909	MotionStart
3447.443405	MotionEnd
3451.606069	RestStart
3452.600467	RestEnd
3455.618674	MotionStart
3470.609668	MotionEnd
3473.402784	RestStart
3474.393180	RestEnd
3477.416390	MotionStart
3492.408384	MotionEnd
3494.632273	RestStart
3495.640676	RestEnd
3498.643877	MotionStart
3513.636872	MotionEnd
3515.964803	RestStart
3516.945195	RestEnd
3519.982409	MotionStart
3534.942391	MotionEnd
3537.474403	RestStart
3538.447792	RestEnd
3541.455995	MotionStart
3556.437986	MotionEnd
3558.975000	RestStart
3559.951390	RestEnd
3562.989605	MotionStart
3577.974597	MotionEnd
3580.285521	RestStart
3581.278918	RestEnd
3584.287120	MotionStart
3599.293120	MotionEnd
3601.662068	RestStart
