latency	type
405.161507	RestStart
406.162607	RestEnd
409.174908	MotionStart
424.159406	MotionEnd
427.106701	RestStart
428.116802	RestEnd
431.104101	MotionStart
446.108601	MotionEnd
448.797870	RestStart
449.790969	RestEnd
452.818272	MotionStart
467.783768	MotionEnd
470.447034	RestStart
471.427133	RestEnd
474.442434	MotionStart
489.450935	MotionEnd
491.930182	RestStart
492.899280	RestEnd
495.927582	MotionStart
510.897079	MotionEnd
512.901279	RestStart
513.895379	RestEnd
516.897679	MotionStart
531.892178	MotionEnd
539.079897	RestStart
540.053995	RestEnd
543.084298	MotionStart
558.069796	MotionEnd
561.176106	RestStart
562.184207	RestEnd
565.207509	MotionStart
580.174006	MotionEnd
582.801269	RestStart
583.793368	RestEnd
586.800669	MotionStart
601.775166	MotionEnd
604.305419	RestStart
605.295518	RestEnd
608.319820	MotionStart
623.292317	MotionEnd
624.930481	RestStart
625.941583	RestEnd
628.951883	MotionStart
643.942382	MotionEnd
646.298618	RestStart
647.299718	RestEnd
650.302018	MotionStart
665.319520	MotionEnd
668.643852	RestStart
669.632951	RestEnd
672.615249	MotionStart
687.632751	MotionEnd
689.626950	RestStart
690.644052	RestEnd
693.626350	MotionStart
708.626850	MotionEnd
711.041091	RestStart
712.036191	RestEnd
715.046492	MotionStart
730.044992	MotionEnd
732.500237	RestStart
733.492336	RestEnd
736.502637	MotionStart
751.490136	MotionEnd
754.623449	RestStart
755.609548	RestEnd
758.623849	MotionStart
773.607347	MotionEnd
775.393526	RestStart
776.400627	RestEnd
779.407927	MotionStart
794.383425	MotionEnd
796.094596	RestStart
797.104697	RestEnd
800.109998	MotionStart
815.094496	MotionEnd
817.282715	RestStart
818.274814	RestEnd
821.278114	MotionStart
836.266613	MotionEnd
838.342821	RestStart
839.339920	RestEnd
842.336220	MotionStart
857.334720	MotionEnd
862.056191	RestStart
863.069293	RestEnd
866.066593	MotionStart
881.065092	MotionEnd
883.458332	RestStart
884.466432	RestEnd
887.482734	MotionStart
902.468232	MotionEnd
940.186004	RestStart
941.164102	RestEnd
944.164401	MotionStart
959.151900	MotionEnd
961.219107	RestStart
962.198205	RestEnd
965.226508	MotionStart
980.205005	MotionEnd
983.041289	RestStart
984.036388	RestEnd
987.046689	MotionStart
1002.062299	MotionEnd
1005.236664	RestStart
1006.250461	RestEnd
1009.248861	MotionStart
1024.246861	MotionEnd
1027.436223	RestStart
1028.426025	RestEnd
1031.454419	MotionStart
1046.417426	MotionEnd
1048.857938	RestStart
1049.865736	RestEnd
1052.861137	MotionStart
1067.855137	MotionEnd
1069.956717	RestStart
1070.950518	RestEnd
1073.950918	MotionStart
1088.936920	MotionEnd
1094.459815	RestStart
1095.440619	RestEnd
1098.434020	MotionStart
1113.455016	MotionEnd
1116.161474	RestStart
1117.150277	RestEnd
1120.148677	MotionStart
1135.135679	MotionEnd
1137.210264	RestStart
1138.185069	RestEnd
1141.209464	MotionStart
1156.204464	MotionEnd
1158.031099	RestStart
1159.020901	RestEnd
1162.024300	MotionStart
1177.041296	MotionEnd
1180.335637	RestStart
1181.335437	RestEnd
1184.357832	MotionStart
1199.319839	MotionEnd
1201.569389	RestStart
1202.570189	RestEnd
1205.551593	MotionStart
1220.543594	MotionEnd
1222.499202	RestStart
1223.499002	RestEnd
1226.513400	MotionStart
1241.479406	MotionEnd
1243.470007	RestStart
1244.421817	RestEnd
1247.469207	MotionStart
1262.438213	MotionEnd
1264.348831	RestStart
1265.358629	RestEnd
1268.368027	MotionStart
1283.348030	MotionEnd
1285.371625	RestStart
1286.348430	RestEnd
1289.380824	MotionStart
1304.345897	MotionEnd
1308.197897	RestStart
1309.188897	RestEnd
1312.198897	MotionStart
1327.177897	MotionEnd
1329.312897	RestStart
1330.288897	RestEnd
1333.336897	MotionStart
1348.314897	MotionEnd
1350.924897	RestStart
1351.927897	RestEnd
1354.942897	MotionStart
1369.917897	MotionEnd
1374.726897	RestStart
1375.700897	RestEnd
1378.722897	MotionStart
1393.709897	MotionEnd
1395.586897	RestStart
1396.578897	RestEnd
1399.595897	MotionStart
1414.585897	MotionEnd
1419.054897	RestStart
1420.048897	RestEnd
1423.058897	MotionStart
1438.048897	MotionEnd
1544.262897	RestStart
1545.231897	RestEnd
1548.259897	MotionStart
1563.252897	MotionEnd
1565.307897	RestStart
1566.270897	RestEnd
1569.323897	MotionStart
1584.287897	MotionEnd
1586.138897	RestStart
1587.116897	RestEnd
1590.132897	MotionStart
1605.122509	MotionEnd
1607.548752	RestStart
1608.527850	RestEnd
1611.558153	MotionStart
1626.534651	MotionEnd
1628.667864	RestStart
1629.663963	RestEnd
1632.669264	MotionStart
1647.647762	MotionEnd
1651.370134	RestStart
1652.364233	RestEnd
1655.368534	MotionStart
1670.372034	MotionEnd
1674.079404	RestStart
1675.060502	RestEnd
1678.074804	MotionStart
1693.069303	MotionEnd
1695.428539	RestStart
1696.437640	RestEnd
1699.447941	MotionStart
1714.430439	MotionEnd
1716.066603	RestStart
1717.061702	RestEnd
1720.094006	MotionStart
1735.071503	MotionEnd
1737.685765	RestStart
1738.693865	RestEnd
1741.704166	MotionStart
1756.683664	MotionEnd
1760.022998	RestStart
1761.000096	RestEnd
1764.008397	MotionStart
1779.003896	MotionEnd
1781.387134	RestStart
1782.397235	RestEnd
1785.383534	MotionStart
1800.363032	MotionEnd
1802.523248	RestStart
1803.520348	RestEnd
1806.532648	MotionStart
1821.509146	MotionEnd
1823.486344	RestStart
1824.459441	RestEnd
1827.475743	MotionStart
1842.476242	MotionEnd
1844.252420	RestStart
1845.246519	RestEnd
1848.278823	MotionStart
1863.247320	MotionEnd
1866.604655	RestStart
1867.607756	RestEnd
1870.614056	MotionStart
1885.591554	MotionEnd
1887.654760	RestStart
1888.665861	RestEnd
1891.670161	MotionStart
1906.660660	MotionEnd
1908.574852	RestStart
1909.580952	RestEnd
1912.585253	MotionStart
1927.569751	MotionEnd
1933.481342	RestStart
1934.475441	RestEnd
1937.500744	MotionStart
1952.496243	MotionEnd
1958.065800	RestStart
1959.030897	RestEnd
1962.043198	MotionStart
1977.011695	MotionEnd
1981.501143	RestStart
1982.475241	RestEnd
1985.505544	MotionStart
2000.471040	MotionEnd
2002.711265	RestStart
2003.684362	RestEnd
2006.700663	MotionStart
2021.705163	MotionEnd
2027.459739	RestStart
2028.461839	RestEnd
2031.476140	MotionStart
2046.456638	MotionEnd
2121.853177	RestStart
2122.821274	RestEnd
2125.835576	MotionStart
2140.808072	MotionEnd
2143.096301	RestStart
2144.086400	RestEnd
2147.124704	MotionStart
2162.110203	MotionEnd
2166.241616	RestStart
2167.244716	RestEnd
2170.250017	MotionStart
2185.235515	MotionEnd
2187.462737	RestStart
2188.454837	RestEnd
2191.497141	MotionStart
2206.477639	MotionEnd
2214.361427	RestStart
2215.332524	RestEnd
2218.342825	MotionStart
2233.341325	MotionEnd
2235.348526	RestStart
2236.338625	RestEnd
2239.341925	MotionStart
2254.340425	MotionEnd
2257.207712	RestStart
2258.197811	RestEnd
2261.230114	MotionStart
2276.208611	MotionEnd
2278.786869	RestStart
2279.778968	RestEnd
2282.780269	MotionStart
2297.775768	MotionEnd
2300.339024	RestStart
2301.330123	RestEnd
2304.330423	MotionStart
2319.353926	MotionEnd
2322.210211	RestStart
2323.186309	RestEnd
2326.214611	MotionStart
2341.194109	MotionEnd
2343.774367	RestStart
2344.761466	RestEnd
2347.765767	MotionStart
2362.760266	MotionEnd
2364.542444	RestStart
2365.536543	RestEnd
2368.568847	MotionStart
2383.570346	MotionEnd
2385.715561	RestStart
2386.726662	RestEnd
2389.732963	MotionStart
2404.712460	MotionEnd
2407.041694	RestStart
2408.012791	RestEnd
2411.050094	MotionStart
2426.036593	MotionEnd
2428.384828	RestStart
2429.377927	RestEnd
2432.423232	MotionStart
2447.376727	MotionEnd
2451.025091	RestStart
2452.019191	RestEnd
2455.033492	MotionStart
2470.016990	MotionEnd
2472.477236	RestStart
2473.466335	RestEnd
2476.501639	MotionStart
2491.459135	MotionEnd
2493.415330	RestStart
2494.393428	RestEnd
2497.423731	MotionStart
2512.390227	MotionEnd
2514.718460	RestStart
2515.713560	RestEnd
2518.756864	MotionStart
2533.714359	MotionEnd
2537.298718	RestStart
2538.294817	RestEnd
2541.325120	MotionStart
2556.308618	MotionEnd
2558.197808	RestStart
2559.201908	RestEnd
2562.201208	MotionStart
2577.207708	MotionEnd
2579.054893	RestStart
2580.070995	RestEnd
2583.055293	MotionStart
2598.034791	MotionEnd
2602.109198	RestStart
2603.109298	RestEnd
2606.120599	MotionStart
2621.103097	MotionEnd
2654.064393	RestStart
2655.056492	RestEnd
2658.074794	MotionStart
2673.064293	MotionEnd
2675.888575	RestStart
2676.908678	RestEnd
2679.916978	MotionStart
2694.871474	MotionEnd
2698.140800	RestStart
2699.121899	RestEnd
2702.135200	MotionStart
2717.136700	MotionEnd
2721.335120	RestStart
